"abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong"
"Uran.","Uranius Presbyter",,"Perhaps Nola, Italy as a disciple of Paulinus","Nola, Italia","432981",,,,"CE 431","Y",,"40.926822999999999","14.524545"
"P.-Nol.","Pontius Meropius Paulinus, episcopus Nolanus","Paulinus of Nola","Naples, Italy","Nola (Nuvlana), Italia","432981","CE 4","c. CE 353","CE 431",,"Y","Y","40.926822999999999","14.524545"
"P.Nol.","Pontius Meropius Paulinus, episcopus Nolanus","Paulinus of Nola","Naples, Italy","Nola (Nuvlana), Italia","432981","v","c. CE 353","CE 431",,"Y","Y","40.926822999999999","14.524545"
"Vac.","Vacca",,"Unknown","Unknown","432981","CE 6?",,,,"Y",,"40.926822999999999","14.524545"
"Stat.","Publius Papinius Statius","Statius","Naples, Italy","Parthenope/Neapolis, Italia","433014","CE 1","c. CE 40-50","c. CE 96",,"N","N ","40.839995000000002","14.25287"
"C.Bas.","Bassus, Gaius Caesius",,"Naples, Italy?","Parthenope/Neapolis, Italia?","433014","CE 1","CE ?","CE 79",,,"N","40.839995000000002","14.25287"
"Pompon.Len.","Pomponius Lenaeus",,"Suessa Aurunca, Italy","Suessa Aurunca, Italia","433132","BCE 1",,,,,,"41.238253999999998","13.932224"
"Ov.","Publius Ovidius Naso","Ovid","Sulmo, Italy","Sulmo, Italia","433134","BCE 1-1 CE","BCE 43","CE 17",,"N","N","42.046816999999997","13.925673"
"Vell.","Gaius Velleius Paterculus",,"Aeclanum, Italy","Aeclanum, Irpinia","442451","CE 1","c. BCE 20","c. CE 30",,"N","N","41.048285999999997","15.002276999999999"
"Carvil.","Spurius Carvilius.",,"Lacedonia, Italy / Rome, Italy","Aquilonia, Italia / Roma, Italia","442471 / 423025","BCE 3",,,,,,,
"Crassic.","Lucius Crassicius Pasicles",,"Taranto, Apulia, Italy (Born)","Tarentum, Italia","442810","BCE 1",,,"BCE 39-20",,,"40.470940499999998","17.2371455"
"Liv.Andron.","Livius Andronicus",,"Taranto, Apulia, Italy (Born) / Rome, Italy","Tarentum, Italia (born) / Roma, Italia","442810 / 423025","BCE 3",,,,"N","N",,
"Cassiod.","Flavius Magnus Aurelius Cassiodorus",,"Calalunga-Pietragrande, Italy","Vivarium, Italia","452492","CE 6","c. CE 490","c. CE 583",,"Y","Y","38.737999000000002","16.55254"
"Cincius.","Cincius Alimentus, Lucius",,"Sicily","Sicilia","462492","BCE 3-2",,,"c. BCE 209",,"N","37.472309884600001","14.258442358"
"Elpis.","Elpis",,"Sicily","Sicilia","462492","CE 5",,,,"Y","Y","37.472309884600001","14.258442358"
"Firm.","Firmicus Maternus, Iulius",,"Syracuse, Sicily","Syracusae, Sicilia","462503","CE 4",,,,"Y","Y","37.073864499999999","15.271886927800001"
"Firm.Mat.","Firmicus Maternus, Julius",,"Syracuse, Sicily","Syracusae, Sicilia","462503","CE 4",,,,"Y",,"37.073864499999999","15.271886927800001"
"Lucif.","Lucifer Calaritanus","Lucifer of Cagliari","Cagliari, Italy ","Caralis, Italia","471899","CE 4",,"CE 370/371","CE 356-360","Y","Y","39.214886","9.1095220000000001"
"Lucif., Hil., Panc.","Lucifer Calaritanus, Hilarius, Pancratius presbyter",,"Cagliari, Sardinia / ","Caralis, Sardinia / ","471899 / ","CE 4",,,,"Y","Y",,
"Epicad.","Epicadus, Cornelius",,,"Illyricum","481865","BCE 2-1",,,,,,"42.427148483300002","17.964516466700001"
"Alex.","Alexander Magnus",,"Pella, Greece","Pella, Macedonia","491687","BCE 4","BCE 356","BCE 323",,,,"40.766752124999996","22.506735275"
"Paul.Pell.","Paulinus","Paulinus of Pella","Pella, Greece","Diokletianoupolis, Macedonia","491687","CE 4","c. CE 376","c. CE 462",,"Y","Y","40.766752124999996","22.506735275"
"P.-Pell.","Paulinus Pellaeus, Gallus",,"Thessaloniki, Greece","Pella, Macedonia","491688","CE 5","CE 376","c CE 460",,"Y","Y","40.75","22.75"
"Pal.","Palladius Helenopolitanus; Hervet, Gentian",,"Hersek, Turkey","Helenopolis, Bithynia","511240","CE 5","CE 363/364","CE 420-430",,"Y","Y","40.721716999999998","29.502087"
"Pal.","Palladius Helenopolitanus",,"Hersek, Turkey","Helenopolis, Bithynia","511240","CE 5","CE 363/364","CE 420-430",,"Y","Y","40.721716999999998","29.502087"
"Char.","Charisius, Flavius Sosipater",,"Istanbul, Turkey","Constantinopolis, Thracia","520985","CE 4",,,"CE 4","Y",,"41.005901999999999","28.973881500000001"
"Conc.Consp.","Concilium Constantinopolitanum I",,"Istanbul, Turkey","Constantinopolis, Thracia","520985","CE 4",,,"CE 381","Y","Y","41.005901999999999","28.973881500000001"
"MaxCon.","Maximus Constantinopolitanus",,"Istanbul, Turkey","Constantinopolis, Thracia","520985",,,,,,"Y","41.005901999999999","28.973881500000001"
"Aem.Prob.","Aemilius Probus",,,"Constantinopolis, Thracia","520985","CE 4",,,,,,"41.005901999999999","28.973881500000001"
"Iust.","Iustinianus I Augustus",,"Istanbul, Turkey","Constantinopolis, Thracia","520985","CE 6",,,,"Y","Y","41.005901999999999","28.973881500000001"
"Mamertin.","Claudius Mamertinus",,"Istanbul, Turkey","Constantinopolis, Thracia","520985","CE 4",,,,"Y",,"41.005901999999999","28.973881500000001"
"Marcell.Com.","Marcellinus Comes",,"Istanbul, Turkey","Illyria (Born) / Constantinopolis, Thracia","520985","CE 5-6",,,,"Y","Y","41.005901999999999","28.973881500000001"
"Nest.","Nestorius",,"Istanbul, Turkey","Constantinopolis, Thracia","520985","CE 5",,,,"Y","Y","41.005901999999999","28.973881500000001"
"Theod.Iun.","Flavius Theodosius Iunior Augustus","Theodosius II","Istanbul, Turkey","Constantinopolis, Thracia","520985","CE 5","CE 401","CE 450",,"Y",,"41.005901999999999","28.973881500000001"
"Cons.","Consentius, Publius",,"Istanbul, Turkey","Constantinopolis, Thracia","520985","CE 5",,,,"Y","N","41.005901999999999","28.973881500000001"
"Euan.","Euanthius",,"Istanbul, Turkey","Byzantium","520985","CE 4",,,,,,"41.005901999999999","28.973881500000001"
"Const.","Constantinus I",,"Approximately Serbia and Kosovo","Byzantium, Thracia","520985","CE 4","CE 272","CE 337","CE 306-337","Y","Y","41.005901999999999","28.973881500000001"
"Ioh.-Chrysost.","Iohannes Chrysostomus","St. John Chrysostom","Istanbul, Turkey","Constantinopolis, Thracia","520985","CE 4",,,,"Y","Y","41.005901999999999","28.973881500000001"
"Eutych.","Eutyches",,"Istanbul, Turkey","Constantinopolis, Thracia","520985","CE 6",,,"c. CE 550",,,"41.005901999999999","28.973881500000001"
"Cledon.","Cledonius",,"Istanbul, Turkey","Constantinopolis, Thracia","520985","CE 5",,,,"Y",,"41.005901999999999","28.973881500000001"
"Eutr.","Eutropius",,"Istanbul, Turkey","Constantinopolis, Thracia (Held office of magister memoriae)","520985","CE 4",,,,"Y","Y","41.005901999999999","28.973881500000001"
"Iunil.","Iunilius Africanus",,"Istanbul, Turkey / North Africa","Constantinopolis, Thracia / Africa","520985 / 775","CE 6",,,"541–549","Y","Y",,
"Conc.Chalc.","Concilium Chalcedonense",,"Istanbul (Kadıköy), Turkey","Chalcedon, Bithynia","520988","CE 5",,,,"Y","Y","40.983393","29.025789"
"Theod.Pris.","Theodorus Priscianus",,"Istanbul, Turkey","Constantinopolis, Thracia","520998","CE 4",,,,"Y",,"41.007462760000003","28.96060984"
"Mercat.","Marius Mercator",,"Istanbul, Turkey","Constantinopolis","520998","CE 5",,,"CE 5","Y","Y","41.007462760000003","28.96060984"
"Sev.-Maj","Severus Majoricensis",,"Minorca in the Balearic Sea","Minorca in the Balearic Sea","572631626",,,,,,,"39.924912599999999","4.0044605000000004"
"Sev. Minor","Severus Minoricensis",,"Minorca in the Balearic Sea","Minorca in the Balearic Sea","572631626","CE 5",,,,"Y","Y","39.924912599999999","4.0044605000000004"
"Ateius","Lucius Ateius Praetextatus",,"Athens, Greece / Rome, Italy","Athenae / Roma, Italia","579885 / 423025","BCE 1",,,,,,,
"Dict.-Cret.","Dictys Cretensis",,"Crete","Creta","589748","CE 4",,,,"Y",,"35.221593681900004","24.974291240700001"
"Theod.","Theodoretus Cyrensis",,"Kurkat, Tajikistan","Cyropolis","59781","CE 5","CE 393","CE 458",,,"Y","39.907609999999998","69.004272"
"Curt.Nic.","Curtius Nicias",,"Cos, Greece","Halicarnassus","599581","BCE 1",,,,,,"36.844000000000001","27.170000000000002"
"Ruf.","Rufus ","Rufus of Ephesus","Ephesos/Selçuk, Turkey","Ephesus","599612",,,,,,,"37.942183419999999","27.34551256"
"Ioh.-Maxent.","Ioannes Maxentius (Spuria)",," ","Scythia","60675","CE 6",,,"CE 6","Y","Y",,
"Ioh.-Maxent.","Ioannes Maxentius",," ","Scythia","60675","CE 6",,,"CE 6","Y","Y",,
"Dar.","Dares Phrygius",,"Turkey","Asia (Phrygia)","609502","CE 5",,,,"Y",,"38.75","29.75"
"Amph.","Amphilochius Iconiensis Ursus","Amphilochius, St.","Konya, Turkey","Iconium, Galatia et Cappadocia","648647","CE 4","CE 343-394",,"CE 373-394",,"Y","37.859628000000001","32.504215500000001"
"Euth.","Eutherius Tyanensis",,"Kemerhisar, Turkey","Tyana, Cappadocia","648801","CE 5",,,,"Y","Y","37.858701000000003","34.566349500000001"
"Cypr.Ant.","Cyprianus Antiochenus","Cyprian of Antioch","Antakya, Turkey","Antiochia, Syria","658381","CE 3",,"CE 304",,"Y","Y","36.20138","36.161749"
"Ruf.An.","Rufinus Antiochensis",,"Antakya, Turkey","Antiochia, Syria","658381","CE 5",,,,"Y",,"36.20138","36.161749"
"Amm.","Ammianus Marcellinus","Ammianus Marcellinus","Antakya, Turkey / Rome, Italy","Antiochia, Syria / Roma, Italia","658381 / 423025","CE 4","c. CE 332","c. CE 393","?","Y","N",,
"Theo.-Mop","Theodorus Mopsuestenus",,"Yakapınar, Turkey","Mopsou(h)estia, Cilicia Pedias","658538","CE 5",,,,"Y",,"36.9644503333","35.61627"
"Prob.","Marcus Valerius Probus",,"Beirut, Lebanon","Berytus","678060","CE 1",,,,"N","N","33.898593499999997","35.511240999999998"
"Eus.","Eusebius Pamphilus",,"Caesarea Maritima, Israel","Caesarea, Iudaea","678401","CE 4",,,,,,"32.500466500000002","34.897258000000001"
"Euseb.","Eusebius Pamphilius",,"Caesarea Maritima, Israel","Caesarea, Iudaea","678401","CE 4",,,,"Y","Y","32.500466500000002","34.897258000000001"
"Euseb./Hier.","Eusebius Caesariensis or Hieronymus Stridonensis",,"Caesarea Maritima, Israel / Near Ljubljana, Slovenia","Caesarea, Iudaea / Stridon (near Labacum), Dalmatia","678401 / 203160","CE 4-5",,,,"Y",,,
"Ulp.","Domitius Ulpianus","Ulpian","Tyre, Lebanon","Tyre, Phoenice","678437","CE 2-3",,"CE 228","CE 211-222","N","N","33.269847499999997","35.203843499999998"
"Cassian.","Ioannes Cassianus",,"Monk in Bethlehem, Israel / Priest in Marseille, France","Bethlehem, Iudaea / Massalia, Gallia Narbonensis","687856 / 148127","CE 4","c. CE 360","CE 435",,"Y","Y",,
"Comm.","Commodianus Gazaeus",,"Gaza, Gaza Strip","Gaza, Iudaea","687902","CE 3",,,"c. CE 270","Y","Y","31.5202095","34.451718999999997"
"Cyr.-Ieros.","Cyrillus Ierosolymitanus",,"Jerusalem","Ierusalem, Iudaea","687928","CE 4","c. CE 315","CE 386/7",,"Y",,"31.777464599999998","35.234748349999997"
"Leon.","Leontius Neapoleos & Anastasius bibliothecariu",,"Limassol, Cyprus","Neapolis/Theodosias, Cyprus","707587","CE 7 ",,"c. CE 620/630",,,"Y","34.67624","33.039628"
"Orig.","Origenes",,"Alexandria, Egypt","Alexandria, Aegyptus","727070","CE 3",,,,,"Y","31.1982456667","29.907914666700002"
"Philox.","Philoxenus",,"Alexandria, Egypt","Alexandria, Aegyptus","727070","BCE 1",,,,,,"31.1982456667","29.907914666700002"
"Cyrill.","Cyrillus Alexandrinus","Cyril of Alexandria","Alexandria, Egypt","Alexandria, Aegyptus","727070","CE 5","c. CE 376","CE 444","CE 412-444","Y","Y","31.1982456667","29.907914666700002"
"Her.","Heraclides Alexandrinus & Incertus",,"Alexandria, Egypt","Alexandria, Aegyptus","727070",,,,,,"Y","31.1982456667","29.907914666700002"
"It.Alex.","Anonymous","Julius Valerius Polemio","Alexandria, Egypt ","Alexandria, Aegyptus ","727070","CE 4","?",,"?","Y","N","31.1982456667","29.907914666700002"
"Dion.Alex.","Dionysius Alexandrinus",,"Alexandria, Egypt","Alexandria, Aegyptus","727070","CE 3",,,,"N","Y","31.1982456667","29.907914666700002"
"Or.","Origenes ","Origen","Alexandria, Egypt","Alexandria, Aegyptus","727070","CE 3","c. CE 185-254",,,"Y","Y","31.1982456667","29.907914666700002"
"Anon.","Anonymous","Julius Valerius Polemio / Pseudo-Callisthenes","Alexandria, Egypt ","Alexandria, Aegyptus ","727070","CE 340+","?",,"?","Y","N","31.1982456667","29.907914666700002"
"Seleuc.","Seleucus Homericum",,"Alexandria, Egypt","Alexandria, Aegyptus","727070","BCE 1",,,,,,"31.1982456667","29.907914666700002"
"Evagr.","Evagrius Antiochensis",,"Antakya, Turkey","Antiochia, Syria","727070","CE 4",,,,"Y","Y","31.1982456667","29.907914666700002"
"Didym.Al.","Didymus",,"Alexandria, Egypt","Alexandria, Aegyptus","727070","BCE 1",,,,,,"31.1982456667","29.907914666700002"
"Athan.","Athanasius Alexandrinus",,"Antakya, Turkey","Antiocha, Syria","727070","CE 4","CE 296","CE 373",,"Y","Y","31.1982456667","29.907914666700002"
"Hier(Ps).","Didymus Alexandrinus - Hieronymus Stridonensis",,"Alexandria, Egypt / Near Ljubljana, Slovenia","Alexandria, Aegyptus / Stridon (near Labacum), Dalmatia","727070 / 203160","CE 4",,,,,,,
"Hier(Ps).","Hieronymus, Ps",,"Alexandria, Egypt / Near Ljubljana, Slovenia","Alexandria, Aegyptus / Stridon (near Labacum), Dalmatia","727070 / 203160",,,,,,,,
"Athan._Euagr.","Athanasius Alexandrinus - Evagrius Antiochensis",,"Alexandria, Egypt / Antakya, Turkey","Alexandria, Aegyptus / Antiochia, Syria","727070 / 658381","CE 4","CE 296","CE 373",,,"Y",,
"Sev.-Rhe","Severus Rhetor",,"Alexandria, Egypt / Antakya, Turkey / Istanbul, Turkey","Alexandria, Aegyptus / Antiochia, Syria / Constantinopolis, Thracia","727070 / 727070 / 520985","CE 4",,,,"Y","Y",,
"Paph.","Paphnutius Aegyptius",,"Egypt","Aegyptus","766",,,,,,"Y","32.5","32.5"
"Ael.Gal.","Gallus, Gaius Aelius",,"Egypt","Aegyptus","766","BCE 1",,,,"N","N","32.5","32.5"
"Pontian.","Pontianus Africanus",,"North Africa","Africa","775","CE 6",,,,"Y","Y","32.5","7.5"
"Tic.Af","Ticonius Afer  ",,"North Africa","Africa","775","CE 4",,,,"Y",,"32.5","7.5"
"Porph.Opt","Porphyrius Optantianus",,"North Africa","Africa","775","CE 4",,,,"Y",,"32.5","7.5"
"Aur.Vic.","Sextus Aurelius Victor",,"North Africa","Africa","775","CE 4","c. CE 320","c. CE 390",,"Y","N","32.5","7.5"
"Episc.Afr.","Episcopi Africani",,"North Africa","Africa","775","CE ?",,,,,,"32.5","7.5"
"Facund.","Facundus Hermianensis",,"Unknown","Hermiane, Africa","775 (Africa)","CE 6",,,,"Y","Y",,
"Mar.Vict.","Gaius Marius Victorinus",,"North Africa (born) / Rome, Italy (active)","Roma, Italia","775 / 423025","CE 4","c. CE 300","after CE 362",,"Y","Y",,
"Mar.-Vict.","Gaius Marius Victorinus",,"North Africa (born) / Rome, Italy (active)","Roma, Italia","775 / 423025","CE 4","c. CE 300","after CE 362",,"Y","Y",,
"Apion.","Apion",,"El-Kharga, Egypt / Rome, Italy","Oasis, Aegyptus / Roma, Italia","776210 / 423025","BCE 1-CE 1","BCE 30-20","CE 45-48",,"N","N",,
"Aug.-C.","Augustinus Cantuariensis",,"Canterbury, England","Durovernum Cantiacorum, Britannia","79439","CE 6","?","CE 604",,"Y","Y","51.279876000000002","1.08386"
"Hyp.","Hypsicrates",,"Samsun, Turkey","Amisus, Pontus","857024","BCE 1",,,,,,"41.292721","36.331299999999999"
"Evagr.Pont.","Evagrius Ponticus",,"İverönü, Turkey (Erbaa)","Ibora, Cappadocia (Helenopontus)","857169","CE 4",,,,"Y","Y","40.622445999999997","36.570874000000003"
"Mero.","Flavius Merobaudes Hispanus",,"S Spain","Hispania Baetica","862","CE 5",,,,"Y","Y","37.317026499999997","-5.0608329999999997"
"Synod.Mesop.","Synodus Mesopotamica",,"Turkey","Mesopotamia","874602",,,,,,"Y","37.5","39.5"
"Eph.","Ephraem Edessensis; Incertus",,"Nisibis, Syria","Nisibis, Armenia Mesopotamia","874623","CE ?",,,,,"Y","37.0675116667","41.215446666699997"
"Eph.","Ephraem Edessensis; Auctor Incertus",,"Nisibis, Syria","Nisibis, Armenia Mesopotamia","874623","CE ?",,,,,"Y","37.0675116667","41.215446666699997"
"Phoeb.","Phoebadius Aginensis",,"Unlocated","Aginis","915821","CE 4",,"post CE 392",,"Y","Y",,
"Pon.","Ponnanus",,"North Africa (?)","Africa Proconsularis (?)","981504","CE 5/6",,,,,,"32.5","12.5"
"Senec.","Herennius Senecio",,"Iberia","Baetica, Hispania","981510","CE 1",,,"c. CE 93",,,"37.5","-7.5"
"Fab.Rust.","Fabius Rusticus",,"Iberia","Baetica, Hispania","981510","CE 1",,,,,,"37.5","-7.5"
,"Passio S. Marcelli Tingitani",,,"Mauretania Tingitana","981533",,,,,,,"33.952871199999997","-3.5569907000000001"
"Trog.","Gnaeus Pompeius Trogus","Pompey Trogue","Southern France","Gallia Narbonensis","981537","BCE 1",,,"BCE 1","N","N","42.439512499999999","3.1766231999999999"
"Cael.Aur.","Caelius Aurelianus",,"NE Algeria and NW Tunisia","Numidia","981539","CE 5",,,"c. CE 400 ","Y","N","37.5","7.5"
"Staber.","Staberius Eros",,"Serbia","Thracia","981552","BCE 1",,,,"N","N","42.5","22.5"
"Bachiar.","Bachiarius Hispanus",,"Northwest Spain","Gallaecia","991317","CE 4",,,"CE 383-400","Y",,"42.5","-7.5"
"Eutr.-Presb.","Eutropius Presbyter ","Eutropius","Spain / France","Gallaecia / Aquitania","991317 / 981505","CE 4",,,"c. CE 400","Y","Y",,
"Eutr.-Presb.","Eutropius Presbyter","Eutropius","Spain / France","Gallaecia / Aquitania","991317 / 981505","CE 4",,,"c. CE 400","Y","Y",,
,"Passio SS. Martyrum Fructuosi episcopi Tarraconensis, Augurii, et Eulogii diaconorum",,,"Tarraconensis","991326",,,,,,,"42.5","-2.5"
"Verec.","Verecundus, episcopus Iuncensis",,"Douar El Ma, Algeria","Byzacena, Africa Proconsularis","991345","CE 6",,"CE 552",,"Y","Y","32.5","7.5"
"Theod.-R.","Theodoricus rex","Theoderic the Great","Hungary, Austria, Croatia, Slovenia, Bosnia and Herzegovina, and Slovakia.","Pannonia Superior","991356","CE 5","CE 454","CE 526",,,"Y","47.5","17.5"
"Heges.","Hegesippus Palaestinus",,"Palestine","Palaestina","991396","CE 2",,,,"Y","Y","32.5","32.5"
"PEL","Pelagius / Ps. Hieronymus / Ps. Chrysostomus","Pelagius (Heretic)","Britain","Britannia","992071","CE 4","c. CE 350-4 -423-9",,,"Y","Y","52.5","-2.5"
"Pelag.-Haer.","Pelagius","Pelagius (Heretic)","Britain","Britannia","992071","CE 4","c. CE 350-4 -423-9",,,"Y","Y","52.5","-2.5"
"Pelag.-Haer.","Pelagius / Ps. HIeronymus","Pelagius (Heretic)","Britain","Britannia","992071","CE 4","c. CE 350-4 -423-9",,,"Y","Y","52.5","-2.5"
"Pelag.-Haer.","Pelagius / Ps. Ambrosius / Ps. Hieronymus","Pelagius (Heretic)","Britain","Britannia","992071","CE 4","c. CE 350-4 -423-9",,,"Y","Y","52.5","-2.5"
"Hier(Ps).","Hieronymus (Incertus)"," ","Spain (?)","Hispania (?)","992072","CE 7 (?)",,,,,"Y","37.5","-7.5"
"Anon.","Anonymi ",,"Spain","Hispania","992072",,,,,,"Y","37.5","-7.5"
"Iuvc(Ps).","Aquilinus Iuvencus (Incertus)","Iuvencus, Ps","Spain","Hispaniae","992072","CE 4",,,"c. CE 330","Y","Y","37.5","-7.5"
"Iuvc(Ps).","Iuvencus (Caius Vettius Aquilinus) (Ps)","Iuvencus, Ps","Spain","Hispaniae","992072","CE 4",,,"c. CE 330","Y","Y","37.5","-7.5"
"L.Cotta.","Cotta, Lucius Aurunculeius",,"France","Gallia","993","BCE 1",,"BCE 54",,,,"44.730982099999999","3.5988981582999999"
"Clot.I.","Clotarius I Francorum",,"France","Gallia","993","CE 6","CE 497","CE 561",,"Y","Y","44.730982099999999","3.5988981582999999"
"Clot.II.","Clotarius III Francorum",,"France","Gallia","993","CE 7","c. CE 650","c. CE 673",,,"Y","44.730982099999999","3.5988981582999999"
"Clot.II.","Clotarius II Francorum (Capitularia Regum Merovingicorum in CPL)",,"France","Gallia","993","CE 7","CE 584","CE 630",,,"Y","44.730982099999999","3.5988981582999999"
"Clot.II.","Clotarius II Francorum",,"France","Gallia","993","CE 7","CE 584","CE 630",,,"Y","44.730982099999999","3.5988981582999999"
"Or.","Orientius","Orientius, episcopus Ausciensis (?)","France","Gallia","993","CE 5",,,,"Y","Y","44.730982099999999","3.5988981582999999"
"Child. II","Childebertus II",,"France","Gallia","993","CE 6","CE 570","CE 596",,"Y","Y","44.730982099999999","3.5988981582999999"
"Acil.Glab.","Manius Acilius Glabrio",,,,,"BCE 1",,,,,,,
"Man.Iur.","Manius Manilius",,"Rome, Italy","Roma, Italia",,"BCE 2",,,,"N","N",,
"Pith.","Manius Otacilius Pitholaus",,,,,"BCE 1",,,,,,,
"Atil.","Atilius, comicus",,,,,"BCE 3/2",,,,,,,
"Mar.Com.","Marcellinus Comes",,,,,"CE 6",,,"CE 500-534","Y",,,
"Marcell(Ps).","Marcellus (Ps.)",,,,,,,,,,"Y",,
"Fortun.","Atilius Fortunatianus",,,,,"CE 4",,,,,,,
"Athan(Ps).","Athanasius, Ps.",,,,,,,,,,"Y",,
"Marc.Sal.","Marcius Salutaris",,,,,"CE 3",,,,,,,
"Marc.Vat.","Marcius Vates",,,,,,,,,,,,
"Abur.","Marcus Aburius",,,,,"BCE 2",,,"c. BCE 185",,,,
"Lep.","Marcus Aemilius Lepidus",,,,,"BCE 2",,,,,,,
"Lep.III.","Marcus Aemilius Lepidus",,,,,"BCE 2-1",,,"c. BCE 80",,,,
"Lep.II.","Marcus Aemilius Lepidus",,,,,"BCE 1","BCE 89","c. BCE 13/12",,,,,
"Lep.I.","Marcus Aemilius Lepidus",,,,,"BCE 2",,,"c. BCE 180",,,,
"Lep.","Marcus Aemilius Lepidus Porcina",,"Spain","Hispania Criterior",,"BCE 2",,,,"N","N",,
"Pas.Mar.","Passio Marci Evangelistae",,,,,,,,,,"Y",,
"Ant.Gniph.","Marcus Antonius Gnipho",,,,,"BCE 1",,,,,,,
"Aris.Fus.","Marcus Aristius Fuscus",,,,,"BCE 1",,,,,,,
"Aur.","Marcus Aurelius",,,,,,,,,,,,
"Baeb.Mac.","Marcus Baebius Macer",,,,,"CE 1-2",,,"CE 101-117",,,,
"Ast.","Astydamas",,,,,"BCE 4",,,,,,,
"Ass.Mous.","Assumptio Moysi",,,,,,,,,,"Y",,
"Asp.","Asper",,,,,,,,,,,,
"Asc.Is.","Ascensio Isaiae",,,,,,,,,,"Y",,
"Man.Astr.","Marcus Manilius",,"Unknown","Unknown",,"CE 1",,,,"N","N",,
"Plaut.-M.","Marcus Plautius",,,,,"BCE 2",,,,,,,
"Ar.Mes.","Arusianus Messius / Arusianus Messus",,,,,"CE 4/5",,,,"Y",,,
"Mar.Tul.","Marcus Tullius",,,,,,,,,,,,
"Prob(Ps).","Marcus Valerius Probus (Ps.)",,,,,,,,,,,,
"Arrun.Cel.","Arruntius Celsus",,,,,,,,,,,,
"Marc.Pap.","Marcus papa (Incertus)",,,,,,,,,,"Y",,
"Marc.","Marcus, monachus Casinensis",,,,,"CE 6",,,,,,,
"Marian.","Marianus",,,,,"CE 2",,,,,,,
"Sac.","Marius Plotius Sacerdos",,,,,"CE 3",,,,,,,
"Mar.Vict.","Marius Victorinus philosophus",,,,,,,"CE 362",,,,,
"Arg.Aen.Mon.","Argumenta Aeneidis, Monosticha",,,,,"CE 4/5",,,,,,,
"Arg.Aen.Deca.","Argumenta Aeneidis, Decasticha",,,,,"CE 4/5",,,,,,,
"Aquil.","Aquilius Niger",,,,,,,,,,,,
"Mar.Paul.","Martyrium Pauli",,,,,,,,,,"Y",,
"Marull.","Marullus",,,,,"CE 2",,,,,,,
"Min.Apul.","Apuleius, Lucius Caecilius Minutianus",,,,,,,,,,,,
"Mav.","Mavortius",,,,,"CE 6",,"CE 527",,,,,
"Max.Et.","Maximianus Etruscus",,,,,"CE 6",,,,"Y",,,
"Max.-Afr.","Maximus Africanus",,,,,,,,,,,,
"Apris.","Aprissius",,,,,"BCE 2/1",,,,,,,
"Clod.Pul.","Appius Claudius Pulcher",,,,,"BCE 1",,,,,,,
"Max.-Taur.","Maximus Taurinensis",,,,,,,,,,"Y",,
"App.Verg.","Appendix Vergiliana","Appendix Vergiliana",,,,"CE 1",,,,"N","N",,
"Max.-Taur.&Hier.","Maximus Taurinensis - Hieronymus Stridonensis (Incertus)",,,,,,,,,,"Y",,
"Milt.&Const.I.","Melchiades papa - Constantinus I Ioannes rex Armeniorum (Incertus)",,,,,,,,,,"Y",,
"Mel.","Melito",,,,,,,,,,"Y",,
"Mem.Ap.","Memoria apostolorum",,,,,,,,,,"Y",,
"App.Tib.","Appendix Tibulliana",,,,,,,,,,,,
"Mim.Inc.","Mimi Poetarum Incertorum",,,,,,,,,,,,
"Modestin.","Modestinus",,,,,"CE 5/6",,,,,,,
"Mod.","Modestus",,,,,,,,,,,,
"Ap.Ps.Meth.","Apocalypsis pseudo-Methodii",,,,,,,,,,"Y",,
"Monachi.-Ben.","Monachi ordinis S Benedicti",,,,,,,,,,"Y",,
"Ap.An.","Apocalypsis anonyma",,,,,,,,,,"Y",,
"Mors.Pil.","Mors Pilati",,,,,,,,,,"Y",,
"Mum.","Mummius",,,,,"BCE 1",,,,"N","N",,
"Mun.","Munatius Rufus",,,,,"BCE 1",,,,"N","N",,
"Naev.Iun.","Naevius Iunior",,,,,,,,,,,,
"Nauc.","Naucellius",,,,,"CE 4",,,,,,,
"Ap.Thom.","Apocalypsis Thomae",,,,,,,,,,"Y",,
"Ap.Paul.","Apocalypsis Pauli",,,,,,,,,,"Y",,
"NIC","Nicetas Episcopus Remesianensis",,,,,,,,,,,,
"Ap.Bar.","Apocalypsis Baruch",,,,,,,,,,"Y",,
"Nin.","Ninnius Crassus",,,,,"BCE 1",,,,"N","N",,
"Nis.","Nisus",,,,,"CE 1",,,,,,,
"Non.","Nonius Marcellus",,,,,"CE 4",,,"CE 301",,,,
"Not.Dig.","Notitia Dignitarum",,,,,"CE 5",,,,"Y","N",,
"Not.Region.","Notitia Regionum",,,,,"CE 4",,,,"Y",,,
"Not.Ur.","Notitia Urbis Constantinopolitanae",,,,,"CE 5",,,,"Y",,,
"Nokt.-B.","Notker Balbulus","Notker the Stammerer",,,,"CE 9","c. CE 840","CE 912",,,"Y",,
"Num.","Numitorius",,,,,,,,,,,,
"Ruso.","Octavius Ruso",,,,,"BCE 2-1",,,,,,,
"Oct.Teuc.","Octavius Teucer",,,,,"BCE 1",,,,,,,
"Ol.","Olympius Hipanus Episcopus",,,,,"CE 4-5",,,,"Y","Y",,
"Op.","Opilius, Aurelius",,,,,"BCE 1",,,,,,,
