"abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong"
"Leo.M.","Leo I Magnus","Saint Leo the Great","Rome, Italy","Roma, Italia","423025","CE 5",,"CE 461",,"Y",,"41.891737499999998","12.4861685"
"Pa.No.GrI.","Paterius notarius Gregorii I",,"Rome, Italy","Roma, Italia","423025","CE 6",,,,"Y","Y","41.891737499999998","12.4861685"
"Memmius","Gaius Memmius",,"Rome, Italy","Roma, Italia","423025","BCE 2",,,,"N","N","41.891737499999998","12.4861685"
"Caius.","Caius papa",,"Rome, Italy","Roma, Italia","423025","CE 3",,"CE 295/6","c. CE 282-296",,"Y","41.891737499999998","12.4861685"
"Brutus.","Brutus, Marcus Iunius ",,"Rome, Italy","Roma, Italia","423025","BCE 1","BCE 85","BCE 42",,,,"41.891737499999998","12.4861685"
"Opp.","Gaius Oppius",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,,"N","N","41.891737499999998","12.4861685"
"Carbo.","Gaius Papirius Carbo",,"Rome, Italy","Roma, Italia","423025","BCE 2","c. BCE 164","BCE 119",,,,"41.891737499999998","12.4861685"
"Carbo.Arv.","Gaius Papirius Carbo Arvina",,"Rome, Italy","Roma, Italia","423025","BCE 1",,"BCE 82",,,,"41.891737499999998","12.4861685"
"Frag.Aceph.DeCan.Scrip.","Anonymous"," ","Rome (?)","Roma (?)","423025","CE 2/3",,,,"Y","Y","41.891737499999998","12.4861685"
"Petr.","Gaius Petronius Arbiter / Titus Petronius Niger","Petronius","Rome, Italy","Roma, Italia","423025","CE 1","c. CE 27","CE 66",,"N","N","41.891737499999998","12.4861685"
"App.","Claudius Caecus, Appius",,"Rome, Italy","Roma, Italia","423025","BCE 4","c. BCE 340","BCE 273",,,"N","41.891737499999998","12.4861685"
"Post.","Aulus Postumius Albinus",,"Rome, Italy","Roma, Italia","423025","BCE 2-1",,,,"N","N","41.891737499999998","12.4861685"
"Sal.","Gaius Sallustius Crispus","Sallust","Rome, Italy","Roma, Italia","423025","BCE 1","c. BCE 86","c. BCE 35",,"N","N","41.891737499999998","12.4861685"
"Passien.","Gaius Sallustius Passienus Crispus","Passienus Crispus","Rome, Italy","Roma, Italia","423025","CE 1",,,,"N","N","41.891737499999998","12.4861685"
"Pelag.","Pelagius I",,"Rome, Italy","Roma, Italia","423025","CE 6",,,"CE 555-561","Y","Y","41.891737499999998","12.4861685"
"Pelag.II.","Pelagius II",,"Rome, Italy","Roma, Italia","423025","CE 6",,,"CE 577-590","Y","Y","41.891737499999998","12.4861685"
"Liber.","Liberius",,"Rome, Italy","Roma, Italia","423025","CE 4",,,,"Y","Y","41.891737499999998","12.4861685"
"Liber.Pap.","Liberius papa",,"Rome, Italy","Roma, Italia","423025","CE 4",,,,"Y","Y","41.891737499999998","12.4861685"
"Catalin.","Catalina, Lucius Sergius","Catiline","Rome, Italy","Roma, Italia","423025","BCE 1","BCE 108","BCE 62",,,,"41.891737499999998","12.4861685"
"Treb.","Gaius Trebatius Testa",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,"BCE 1","N","N","41.891737499999998","12.4861685"
"Cels.","Aulus Cornelius Celsus",,"Rome, Italy","Roma, Italia","423025","CE 1","c. BCE 25","c. CE 50","CE 18-39","N","N","41.891737499999998","12.4861685"
"Valg.","Gaius Valgius Rufus",,"Rome, Italy","Roma, Italia","423025","BCE 1-CE 1",,,"c. BCE 65","N","N","41.891737499999998","12.4861685"
"Casc.","Aulus Cascellius",,"Rome, Italy","Roma, Italia","423025","BCE 1","?",,,,,"41.891737499999998","12.4861685"
"Galb.","Galba, Gaius Sulpicius",,"Rome, Italy","Roma, Italia","423025","BCE 1-CE 1",,,,"N","N","41.891737499999998","12.4861685"
"Brut.Iur.","Brutus, Marcus Iunius ",,"Rome, Italy","Roma, Italia","423025","BCE 2",,,"fl. 146-136 B.C",,,"41.891737499999998","12.4861685"
