Source,Target,Type,id,label,timeset,weight
7,52,Undirected,163,,,4.0
7,53,Undirected,164,,,4.0
7,54,Undirected,165,,,4.0
7,55,Undirected,166,,,4.0
7,56,Undirected,167,,,4.0
7,57,Undirected,168,,,4.0
7,58,Undirected,169,,,4.0
7,59,Undirected,170,,,4.0
7,60,Undirected,171,,,4.0
7,61,Undirected,172,,,4.0
7,62,Undirected,173,,,4.0
7,63,Undirected,174,,,4.0
7,64,Undirected,175,,,4.0
7,65,Undirected,176,,,4.0
7,66,Undirected,177,,,4.0
7,67,Undirected,178,,,4.0
7,68,Undirected,179,,,4.0
7,69,Undirected,180,,,4.0
7,70,Undirected,181,,,4.0
8,7,Undirected,182,,,4.0
8,9,Undirected,183,,,4.0
8,10,Undirected,184,,,4.0
8,11,Undirected,185,,,4.0
8,12,Undirected,186,,,4.0
8,13,Undirected,187,,,4.0
8,14,Undirected,188,,,4.0
8,15,Undirected,189,,,4.0
8,16,Undirected,190,,,4.0
8,17,Undirected,191,,,4.0
8,18,Undirected,192,,,4.0
8,19,Undirected,193,,,4.0
8,20,Undirected,194,,,4.0
8,21,Undirected,195,,,4.0
8,22,Undirected,196,,,4.0
8,23,Undirected,197,,,4.0
8,24,Undirected,198,,,4.0
8,25,Undirected,199,,,4.0
8,26,Undirected,200,,,4.0
8,27,Undirected,201,,,4.0
8,28,Undirected,202,,,4.0
8,29,Undirected,203,,,4.0
8,30,Undirected,204,,,4.0
8,31,Undirected,205,,,4.0
8,32,Undirected,206,,,4.0
8,33,Undirected,207,,,4.0
8,34,Undirected,208,,,4.0
8,35,Undirected,209,,,4.0
8,36,Undirected,210,,,4.0
8,37,Undirected,211,,,4.0
8,38,Undirected,212,,,4.0
8,39,Undirected,213,,,4.0
8,40,Undirected,214,,,4.0
8,41,Undirected,215,,,4.0
8,42,Undirected,216,,,4.0
8,43,Undirected,217,,,4.0
8,44,Undirected,218,,,4.0
8,45,Undirected,219,,,4.0
8,46,Undirected,220,,,4.0
8,47,Undirected,221,,,4.0
8,48,Undirected,222,,,4.0
8,49,Undirected,223,,,4.0
8,50,Undirected,224,,,4.0
8,51,Undirected,225,,,4.0
8,52,Undirected,226,,,4.0
8,53,Undirected,227,,,4.0
8,54,Undirected,228,,,4.0
8,55,Undirected,229,,,4.0
8,56,Undirected,230,,,4.0
8,57,Undirected,231,,,4.0
8,58,Undirected,232,,,4.0
8,59,Undirected,233,,,4.0
8,60,Undirected,234,,,4.0
8,61,Undirected,235,,,4.0
8,62,Undirected,236,,,4.0
8,63,Undirected,237,,,4.0
8,64,Undirected,238,,,4.0
8,65,Undirected,239,,,4.0
8,66,Undirected,240,,,4.0
8,67,Undirected,241,,,4.0
8,68,Undirected,242,,,4.0
8,69,Undirected,243,,,4.0
8,70,Undirected,244,,,4.0
9,10,Undirected,245,,,4.0
9,11,Undirected,246,,,4.0
9,12,Undirected,247,,,4.0
9,13,Undirected,248,,,4.0
9,14,Undirected,249,,,4.0
9,15,Undirected,250,,,4.0
9,16,Undirected,251,,,4.0
9,17,Undirected,252,,,4.0
9,18,Undirected,253,,,4.0
9,19,Undirected,254,,,4.0
9,20,Undirected,255,,,4.0
9,21,Undirected,256,,,4.0
9,22,Undirected,257,,,4.0
9,23,Undirected,258,,,4.0
9,24,Undirected,259,,,4.0
9,25,Undirected,260,,,4.0
9,26,Undirected,261,,,4.0
9,27,Undirected,262,,,4.0
9,28,Undirected,263,,,4.0
9,29,Undirected,264,,,4.0
9,30,Undirected,265,,,4.0
9,31,Undirected,266,,,4.0
9,32,Undirected,267,,,4.0
9,33,Undirected,268,,,4.0
9,34,Undirected,269,,,4.0
9,35,Undirected,270,,,4.0
9,36,Undirected,271,,,4.0
9,37,Undirected,272,,,4.0
9,38,Undirected,273,,,4.0
9,39,Undirected,274,,,4.0
9,40,Undirected,275,,,4.0
9,41,Undirected,276,,,4.0
9,42,Undirected,277,,,4.0
9,43,Undirected,278,,,4.0
9,44,Undirected,279,,,4.0
9,45,Undirected,280,,,4.0
9,46,Undirected,281,,,4.0
9,47,Undirected,282,,,4.0
9,48,Undirected,283,,,4.0
9,49,Undirected,284,,,4.0
